Name,Notes,slide
Frozen Tissue Section - Human Adult Normal: Adipose,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-adipose/,T1234003-C105196
Frozen Tissue Section - Human Adult Normal: Adrenal,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-adrenal/,T1234004-B708247
Frozen Tissue Section - Human Adult Normal: Appendix,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-appendix/,T1234006-A802028
Frozen Tissue Section - Human Adult Normal: Bladder,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-bladder/,T1234010-B807070
Frozen Tissue Section - Human Adult Normal: Blood Vessel: Artery,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-blood-vessel-artery/,T1234013-A804077
Frozen Tissue Section - Human Adult Normal: Blood Vessel: Vein,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-blood-vessel-vein/,T1234020-A804078
Frozen Tissue Section - Human Adult Normal: Brain,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain/,T1234035-B509178
Frozen Tissue Section - Human Adult Normal: Brain: Amygdala,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-amygdala/,T1234036-B509005
Frozen Tissue Section - Human Adult Normal: Brain: Cerebellum,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-cerebellum/,T1234039-B705169
Frozen Tissue Section - Human Adult Normal: Brain: Cerebellum (left),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-cerebellum-left/,T1234040-B808095
Frozen Tissue Section - Human Adult Normal: Brain: Cerebellum (right),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-cerebellum-right/,T1234041-A606306
Frozen Tissue Section - Human Adult Normal: Brain: Cerebral Cortex,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-cerebral-cortex/,T1234042-B210110
Frozen Tissue Section - Human Adult Normal: Brain: Cerebral Meninges,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-cerebral-meninges/,T1234043-A610385
Frozen Tissue Section - Human Adult Normal: Brain: Corpus Callosum,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-corpus-callosum/,T1234045-B611059
Frozen Tissue Section - Human Adult Normal: Brain: Diencephalon,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-diencephalon/,T1234049
Frozen Tissue Section - Human Adult Normal: Brain: Frontal Lobe,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-frontal-lobe/,T1234051-C212434
Frozen Tissue Section - Human Adult Normal: Brain: Hippocampus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-hippocampus/,T1234052-B706122
Frozen Tissue Section - Human Adult Normal: Brain: Medulla Oblongata,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-medulla-oblongata/,T1234057-A803034
Frozen Tissue Section - Human Adult Normal: Brain: Midbrain,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-midbrain/,T1234059-B802101
Frozen Tissue Section - Human Adult Normal: Brain: Occipital Lobe,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-occipital-lobe/,T1234062-A708030
Frozen Tissue Section - Human Adult Normal: Brain: Olfactory ( region),http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-olfactory-region/,T1234063-C304002
Frozen Tissue Section - Human Adult Normal: Brain: Optic Nerve,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-optic-nerve/,T1234064-B911031
Frozen Tissue Section - Human Adult Normal: Brain: Parietal Lobe,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-parietal-lobe/,T1234066-B103120
Frozen Tissue Section - Human Adult Normal: Brain: Pons,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-pons/,T1234071-A803032
Frozen Tissue Section - Human Adult Normal: Brain: Postcentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-postcentral-gyrus/,T1234072
Frozen Tissue Section - Human Adult Normal: Brain: Precentral Gyrus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-precentral-gyrus/,T1234073-B306093
Frozen Tissue Section - Human Adult Normal: Brain: Brain Stem,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-brain-stem/,T1234075-B805069
Frozen Tissue Section - Human Adult Normal: Brain: Temporal Lobe,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-temporal-lobe/,T1234078-B510070
Frozen Tissue Section - Human Adult Normal: Brain: Thalamus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-thalamus/,T1234079-A803031
Frozen Tissue Section - Human Adult Normal: Brain: Vermis Cerebelli,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-brain-vermis-cerebelli/,T1234082-B711049
Frozen Tissue Section - Human Adult Normal: Breast,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-breast/,T1234086-B309167
Frozen Tissue Section - Human Adult Normal: Colon,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-colon/,T1234090-C402111
Frozen Tissue Section - Human Adult Normal: Ductus Deferens,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-ductus-deferens/,T1234100-A707118
Frozen Tissue Section - Human Adult Normal: Epididymis,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-epididymis/,T1234105-B210188
Frozen Tissue Section - Human Adult Normal: Esophagus,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-esophagus/,T1234106-A804297
Frozen Tissue Section - Human Adult Normal: Retina,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-retina/,T1234110
Frozen Tissue Section - Human Adult Normal: Gallbladder,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-gallbladder/,T1234118-A707230
Frozen Tissue Section - Human Adult Normal: Heart,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart/,T1234122-B207043
Frozen Tissue Section - Human Adult Normal: Heart: Arcus Aortae,http://www.biochain.com/product/frozen-tissue-section-human-adult-normal-heart-arcus-aortae/,T1234124-B808152
